"filename", "language", "Python", "XML", "Markdown", "JavaScript", "CSS", "JavaScript React", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\App.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\Constants\categories.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Details\Details.jsx", "JavaScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Details\styles.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Main\Form\Form.jsx", "JavaScript React", 0, 0, 0, 0, 0, 102, 0, 0, 0, 17, 119
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Main\Form\styles.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Main\List\List.jsx", "JavaScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Main\List\styles.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Main\Main.jsx", "JavaScript React", 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\components\Main\styles.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\context\context.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\context\contextReducer.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\index.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\index.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\styles.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\useTransactions.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 8, 32
"c:\Users\joeljo\Desktop\TY-project\react\expense\src\utils\formatDate.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\joeljo\Desktop\TY-project\run.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\joeljo\Desktop\TY-project\stock-graph\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\stock-graph\.idea\misc.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\joeljo\Desktop\TY-project\stock-graph\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\stock-graph\.idea\stock-graph.iml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\stock-graph\main.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 4, 12, 47
"Total", "-", 241, 171, 539, 1061, 18905, 369, 29685, 395, 73, 3632, 55071
